min_time = 4; max_time = 258264; average_time = 3508; 
min_time = 4; max_time = 258264; average_time = 3500; 
min_time = 4; max_time = 258264; average_time = 3492; 
min_time = 4; max_time = 258264; average_time = 3484; 
min_time = 4; max_time = 258264; average_time = 3476; 
min_time = 4; max_time = 258264; average_time = 3468; 
min_time = 4; max_time = 258264; average_time = 3461; 
min_time = 4; max_time = 258264; average_time = 3456; 
min_time = 4; max_time = 258264; average_time = 3452; 
min_time = 4; max_time = 258264; average_time = 3444; 
min_time = 4; max_time = 258264; average_time = 3469; 
min_time = 4; max_time = 258264; average_time = 3462; 
min_time = 4; max_time = 258264; average_time = 3454; 
min_time = 4; max_time = 258264; average_time = 3446; 
min_time = 4; max_time = 258264; average_time = 3439; 
min_time = 4; max_time = 258264; average_time = 3438; 
min_time = 4; max_time = 258264; average_time = 3430; 
min_time = 4; max_time = 258264; average_time = 3448; 
min_time = 4; max_time = 258264; average_time = 3470; 
min_time = 4; max_time = 258264; average_time = 3463; 
min_time = 4; max_time = 258264; average_time = 3455; 
min_time = 4; max_time = 258264; average_time = 3448; 
min_time = 4; max_time = 258264; average_time = 3464; 
min_time = 4; max_time = 258264; average_time = 3456; 
min_time = 4; max_time = 258264; average_time = 3460; 
min_time = 4; max_time = 258264; average_time = 3463; 
min_time = 4; max_time = 258264; average_time = 3461; 
min_time = 4; max_time = 258264; average_time = 3454; 
min_time = 4; max_time = 258264; average_time = 3446; 
min_time = 4; max_time = 258264; average_time = 3439; 
min_time = 4; max_time = 258264; average_time = 3459; 
min_time = 4; max_time = 258264; average_time = 3451; 
min_time = 4; max_time = 258264; average_time = 3444; 
min_time = 4; max_time = 258264; average_time = 3437; 
min_time = 4; max_time = 258264; average_time = 3437; 
min_time = 4; max_time = 258264; average_time = 3437; 
min_time = 4; max_time = 258264; average_time = 3430; 
min_time = 4; max_time = 258264; average_time = 3423; 
min_time = 4; max_time = 258264; average_time = 3415; 
min_time = 4; max_time = 258264; average_time = 3408; 
min_time = 4; max_time = 258264; average_time = 3401; 
min_time = 4; max_time = 258264; average_time = 3394; 
min_time = 4; max_time = 258264; average_time = 3387; 
min_time = 4; max_time = 258264; average_time = 3384; 
min_time = 4; max_time = 258264; average_time = 3406; 
min_time = 4; max_time = 258264; average_time = 3398; 
min_time = 4; max_time = 258264; average_time = 3392; 
min_time = 4; max_time = 258264; average_time = 3385; 
min_time = 4; max_time = 258264; average_time = 3379; 
min_time = 4; max_time = 258264; average_time = 3372; 
min_time = 4; max_time = 258264; average_time = 3366; 
min_time = 4; max_time = 258264; average_time = 3361; 
min_time = 4; max_time = 258264; average_time = 3354; 
min_time = 4; max_time = 258264; average_time = 3348; 
min_time = 4; max_time = 258264; average_time = 3341; 
min_time = 4; max_time = 258264; average_time = 3335; 
